gameMode = 0
height = 200
width = 200
numGuards = 1
numIntruders = 0
captureDistance = 0.5
winConditionIntruderRounds = 3
maxRotationAngle = 1.0
maxMoveDistanceIntruder = 1.4
maxSprintDistanceIntruder = 4.0
maxMoveDistanceGuard = 0.05
sprintCooldown = 2
pheromoneCooldown = 3
radiusPheromone = 5.0
slowDownModifierWindow = 0.5
slowDownModifierDoor = 0.5
slowDownModifierSentryTower = 0.1
viewAngle = 45.0
viewRays = 45
viewRangeIntruderNormal = 7.5
viewRangeIntruderShaded = 4.0
viewRangeGuardNormal = 6.0
viewRangeGuardShaded = 3.5
viewRangeSentry = 2.0, 20.0
yellSoundRadius = 30.0
maxMoveSoundRadius = 10.0
windowSoundRadius = 10.0
doorSoundRadius = 5.0
pheromoneExpireRounds = 3

wall = 0.0,0.0,0.0,1.0,200.0,1.0,200.0,0.0
wall = 0.0,1.0,0.0,199.0,1.0,199.0,1.0,1.0
wall = 0.0,200.0,200.0,200.0,200.0,199.0,0.0,199.0
wall = 199.0,1.0,199.0,199.0,200.0,199.0,200.0,1.0

wall = 15.0,15.0,15.0,16.0,50.0,16.0,50.0,15.0
wall = 0.0,31.0,0.0,32.0,35.0,32.0,35.0,31.0
wall = 15.0,49.0,15.0,50.0,50.0,50.0,50.0,49.0
wall = 0.0,45.0,0.0,46.0,35.0,45.0,35.0,46.0
wall = 0.0,61.0,0.0,62.0,50.0,62.0,50.0,61.0

wall = 50.0,16.0,50.0,62.0,51.0,62.0,51.0,16.0
wall = 75.0,1.0,75.0,16.0,76.0,16.0,76.0,1.0
wall = 75.0,16.0,75.0,17.0,125.0,17.0,125.0,16.0
wall = 125.0,1.0,125.0,16.0,126.0,16.0,126.0,1.0

wall = 1.0,150.0,1.0,151.0,151.0,151.0,151.0,150.0
wall = 50.0,0.0,50.0,150.0,151.0,150.0,151.0,0.0
wall = 10.0,0.0,10.0,1.0,50.0,1.0,50.0,0.0
wall = 10.0,1.0,10.0,141.0,11.0,141.0,11.0,1.0
wall = 11.0,140.0,11.0,141.0,41.0,141.0,41.0,140.0
wall = 40.0,120.0,40.0,140.0,41.0,140.0,41.0,120.0
wall = 20.0,120.0,20.0,121.0,40.0,121.0,40.0,120.0
